2022.03.16 11:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2022.03.16 11:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_bitbucketserver_projects
2022.03.16 11:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketcloud_repos
2022.03.16 11:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2022.03.16 11:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_azure_projects
2022.03.16 11:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketserver_repos
2022.03.16 11:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_azure_repos
2022.03.16 11:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/project_dump/status
2022.03.16 11:52:49 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2022.03.16 11:52:49 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2022.03.16 11:52:49 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 2 elements
2022.03.16 11:52:49 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2022.03.16 11:52:49 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2022.03.16 11:52:49 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2022.03.16 11:52:49 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2022.03.16 11:52:49 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2022.03.16 11:52:49 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@1f3f1ddf [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
