127.0.0.1 - - [16/Mar/2022:11:54:09 +0530] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AX9v4hb2fihJkVXFe2MV&ps=500&p=1 HTTP/1.1" 200 11 "-" "ScannerMaven/3.7.0.1746/3.6.3" "AX+RZX0NxgUOkrAnAAAR"
127.0.0.1 - - [16/Mar/2022:11:54:09 +0530] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AX9v4heBfihJkVXFe2RX&ps=500&p=1 HTTP/1.1" 200 6195 "-" "ScannerMaven/3.7.0.1746/3.6.3" "AX+RZX0NxgUOkrAnAAAS"
127.0.0.1 - - [16/Mar/2022:11:54:09 +0530] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AX9v4hcLfihJkVXFe2PI&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerMaven/3.7.0.1746/3.6.3" "AX+RZX0NxgUOkrAnAAAT"
127.0.0.1 - - [16/Mar/2022:11:54:10 +0530] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AX9v4hf6fihJkVXFe2X4&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerMaven/3.7.0.1746/3.6.3" "AX+RZX0NxgUOkrAnAAAU"
127.0.0.1 - - [16/Mar/2022:11:54:10 +0530] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AX9v4hiJfihJkVXFe2fr&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerMaven/3.7.0.1746/3.6.3" "AX+RZX0NxgUOkrAnAAAV"
127.0.0.1 - - [16/Mar/2022:11:54:10 +0530] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AX9v4hj8fihJkVXFe2jD&ps=500&p=1 HTTP/1.1" 200 7766 "-" "ScannerMaven/3.7.0.1746/3.6.3" "AX+RZX0NxgUOkrAnAAAW"
127.0.0.1 - - [16/Mar/2022:11:54:10 +0530] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AX9v4hl0fihJkVXFe2rs&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerMaven/3.7.0.1746/3.6.3" "AX+RZX0NxgUOkrAnAAAX"
127.0.0.1 - - [16/Mar/2022:11:54:10 +0530] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AX9v4horfihJkVXFe2-e&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerMaven/3.7.0.1746/3.6.3" "AX+RZX0NxgUOkrAnAAAY"
127.0.0.1 - - [16/Mar/2022:11:54:10 +0530] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AX9v4hrOfihJkVXFe3Gm&ps=500&p=1 HTTP/1.1" 200 7026 "-" "ScannerMaven/3.7.0.1746/3.6.3" "AX+RZX0NxgUOkrAnAAAZ"
127.0.0.1 - - [16/Mar/2022:11:54:11 +0530] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AX9v4hvIfihJkVXFe3J1&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerMaven/3.7.0.1746/3.6.3" "AX+RZX0NxgUOkrAnAAAa"
